month,province_name,unique_vaccinated_customers
2024-06-01T00:00:00.000Z,Tỉnh Gia Lai,13
2024-06-01T00:00:00.000Z,Tỉnh Lâm Đồng,37
2024-07-01T00:00:00.000Z,Tỉnh Gia Lai,22
2024-07-01T00:00:00.000Z,Tỉnh Lâm Đồng,40
2024-07-01T00:00:00.000Z,Tỉnh Đắk Lắk,15
2024-08-01T00:00:00.000Z,Tỉnh Gia Lai,25
2024-08-01T00:00:00.000Z,Tỉnh Lâm Đồng,26
2024-08-01T00:00:00.000Z,Tỉnh Đắk Lắk,19
2024-09-01T00:00:00.000Z,Tỉnh Gia Lai,38
2024-09-01T00:00:00.000Z,Tỉnh Lâm Đồng,26
2024-09-01T00:00:00.000Z,Tỉnh Đắk Lắk,17
2024-10-01T00:00:00.000Z,Tỉnh Gia Lai,34
2024-10-01T00:00:00.000Z,Tỉnh Lâm Đồng,31
2024-10-01T00:00:00.000Z,Tỉnh Đắk Lắk,19
2024-11-01T00:00:00.000Z,Tỉnh Gia Lai,29
2024-11-01T00:00:00.000Z,Tỉnh Lâm Đồng,53
2024-11-01T00:00:00.000Z,Tỉnh Đắk Lắk,22
2024-12-01T00:00:00.000Z,Tỉnh Gia Lai,16
2024-12-01T00:00:00.000Z,Tỉnh Lâm Đồng,49
2024-12-01T00:00:00.000Z,Tỉnh Đắk Lắk,21
2025-01-01T00:00:00.000Z,Tỉnh Gia Lai,17
2025-01-01T00:00:00.000Z,Tỉnh Lâm Đồng,41
2025-01-01T00:00:00.000Z,Tỉnh Đắk Lắk,24
2025-02-01T00:00:00.000Z,Tỉnh Gia Lai,36
2025-02-01T00:00:00.000Z,Tỉnh Lâm Đồng,49
2025-02-01T00:00:00.000Z,Tỉnh Đắk Lắk,44
2025-03-01T00:00:00.000Z,Tỉnh Gia Lai,32
2025-03-01T00:00:00.000Z,Tỉnh Lâm Đồng,55
2025-03-01T00:00:00.000Z,Tỉnh Đắk Lắk,44
2025-04-01T00:00:00.000Z,Tỉnh Gia Lai,32
2025-04-01T00:00:00.000Z,Tỉnh Lâm Đồng,84
2025-04-01T00:00:00.000Z,Tỉnh Đắk Lắk,51
2025-05-01T00:00:00.000Z,Tỉnh Gia Lai,34
2025-05-01T00:00:00.000Z,Tỉnh Lâm Đồng,92
2025-05-01T00:00:00.000Z,Tỉnh Đắk Lắk,36
2025-06-01T00:00:00.000Z,Tỉnh Gia Lai,66
2025-06-01T00:00:00.000Z,Tỉnh Lâm Đồng,91
2025-06-01T00:00:00.000Z,Tỉnh Đắk Lắk,38
2025-07-01T00:00:00.000Z,Tỉnh Gia Lai,67
2025-07-01T00:00:00.000Z,Tỉnh Lâm Đồng,116
2025-07-01T00:00:00.000Z,Tỉnh Đắk Lắk,102
2025-08-01T00:00:00.000Z,Tỉnh Gia Lai,68
2025-08-01T00:00:00.000Z,Tỉnh Lâm Đồng,144
2025-08-01T00:00:00.000Z,Tỉnh Đắk Lắk,118
2025-09-01T00:00:00.000Z,Tỉnh Gia Lai,69
2025-09-01T00:00:00.000Z,Tỉnh Kon Tum,15
2025-09-01T00:00:00.000Z,Tỉnh Lâm Đồng,121
2025-09-01T00:00:00.000Z,Tỉnh Đắk Lắk,96
2025-10-01T00:00:00.000Z,Tỉnh Gia Lai,52
2025-10-01T00:00:00.000Z,Tỉnh Kon Tum,28
2025-10-01T00:00:00.000Z,Tỉnh Lâm Đồng,115
2025-10-01T00:00:00.000Z,Tỉnh Đắk Lắk,108
2025-11-01T00:00:00.000Z,Tỉnh Gia Lai,48
2025-11-01T00:00:00.000Z,Tỉnh Kon Tum,30
2025-11-01T00:00:00.000Z,Tỉnh Lâm Đồng,93
2025-11-01T00:00:00.000Z,Tỉnh Đắk Lắk,114
2025-12-01T00:00:00.000Z,Tỉnh Gia Lai,55
2025-12-01T00:00:00.000Z,Tỉnh Kon Tum,33
2025-12-01T00:00:00.000Z,Tỉnh Lâm Đồng,154
2025-12-01T00:00:00.000Z,Tỉnh Đắk Lắk,148
2026-01-01T00:00:00.000Z,Tỉnh Gia Lai,68
2026-01-01T00:00:00.000Z,Tỉnh Kon Tum,38
2026-01-01T00:00:00.000Z,Tỉnh Lâm Đồng,185
2026-01-01T00:00:00.000Z,Tỉnh Đắk Lắk,188
2026-02-01T00:00:00.000Z,Tỉnh Gia Lai,64
2026-02-01T00:00:00.000Z,Tỉnh Kon Tum,54
2026-02-01T00:00:00.000Z,Tỉnh Lâm Đồng,170
2026-02-01T00:00:00.000Z,Tỉnh Đắk Lắk,180
2026-03-01T00:00:00.000Z,Tỉnh Gia Lai,64
2026-03-01T00:00:00.000Z,Tỉnh Kon Tum,49
2026-03-01T00:00:00.000Z,Tỉnh Lâm Đồng,130
2026-03-01T00:00:00.000Z,Tỉnh Đắk Lắk,135
